index,ProductTitle,ProductsCategory,Brand,ProductDescription
10,"Quaker Oats Plus Multigrain Advantage(600 g, Pouch)",Breakfast Cereals,Quaker,"Featuring the benefits of four different grains (oats, wheat, ragi, and barley), this packet from Quaker will be a delicious and healthy addition to your daily nutrition. You can add various toppings and create your very own multigrain breakfast bowl."
11,Pond's Men Energy Charge Face Wash(100 g),Soaps & Body Wash,Pond's Men,"Remove dirt and impurities from your face to get fresh and glowing skin with the Pond's Men Energy Charge Face Wash. This skincare essential has been specially-designed for the tough skin of men and it removes oil, dust, and dirt effectively. It contains menthol and coffee bean extracts that gently exfoliate your skin for a clean look. Cleanses Skin Get clean and refreshing skin with this face wash for men. Brightens Skin This pond’s product eliminates dead skin cells and evens out your skin tone to brighten your skin instantly. Use Regularly For an active glow, use this face wash regularly."
12,Cinthol Dive Deodorant Spray - For Men(150 ml),"Deos, Perfumes & Talc",Cinthol,"Made for the men of today, this deodorant from Cinthol will make your gloomy and dull day interesting and refreshing. The fragrant smell of this deodorant will keep you going throughout the day and will ensure you look and smell fresh. Fresh and Cool Aqua This deodorant spray will awaken and rejuvenate your senses with its strong and fresh aroma. Skin-Friendly This deodorant is alcohol-free and protects your skin from damage and irritation apart from helping you smell presentable. Long-Lasting All you will need is just a whiff of this spray to smell fresh. The freshness of the aroma will linger around you all day long."
13,"Garnier Color Naturals Creme Hair Color(Shade 5, Light Brown)",Hair Care,Garnier,"Achieving beautiful tresses is not a tough task anymore with the application of this Color Naturals Hair Color from the esteemed beauty house of Garnier. Enriched with the essence of olive oil, this Garnier Color Naturals Hair Color ensures no side effects as it is organic in nature. Revel in the goodness of Olive oil which helps in moisturizing your locks after coloring and protecting them from getting damaged. This Hair Color is neatly packed with a colorant tube, a developer bottle and gloves for easy and safe application. The texture of this Hair Color is in the form of cream which can be easily applied on your tresses without dripping. Available in the fun shade of Light Brown, this Hair Color provides with complete grey coverage while nourishing and conditioning your hair. This Color Naturals Hair Color is a permanent hair color cream which provides radiance and shine to your tresses as it colors. The Garnier Color Naturals Hair Color (Light Brown - 5) lasts longer thus, providing every woman with soft and silky hair."
14,"Saffola Pongal Surprise Masala Oats(38 g, Pouch)",Breakfast Cereals,Saffola,"Made from 100% natural whole grains and bursting with the flavours of the choicest masalas and real vegetables, this Saffola Masala Oats is not only a treat for your taste buds, but also deliciously healthy. The Authentic Taste of Pongal with a Twist The wholesome goodness of oats, sprinkled with a delicious mix of roasted cashews, spices, and condiments make this Saffola Masala Oats a filling and nutritious breakfast or snack option. What’s even better news is that it cooks in just three minutes! Nutritional Benefits Each spoonful of this oats packs natural fibres and protein. Eating a bowl of this oats keeps you full for a long period of time; something you’d find especially beneficial if you’re trying to manage your body weight."
15,Maggi Pazzta Masala Pasta(65 g),Noodles & Pasta,Maggi,Maggi has been the saviour for many of us when it comes to midnight pangs or the lack of time to cook. Now they offer you something new in the form of a tasty pasta that can be cooked in five minutes. Pasta in a Saucy Mix This Nestlé MAGGI PAZZTA Instant Pasta is available to you in a lip-smacking masala flavour. Made from Nutritious Ingredients This pasta from Maggi is made of suji or rawa which makes it a healthy snack. Ready In A Jiffy It takes only 5-minutes to prepare this tasty snack.
16,Flipkart Supermart Select Soya Bean(500 g),Dals & Pulses,Flipkart Supermart Select,"The super-healthy and versatile food of many, beans are high in antioxidants, fiber, iron, copper, zinc, potassium and vitamin B. Cultivated on nutrient-rich fields, the natural goodness of Flipkart Supermart Beans can help reduce the risk of diabetes, heart disease and assist with weight loss. Sourced from the finest traditional farms, our professionals handpick the Select produce carefully to ensure that the maximum nutrition from the farm reaches your food. Through multiple quality checks, cleaning and advanced packaging, Flipkart Supermart Select ensures an enhanced shelf life while also preserving the healthy, natural taste of the produce. So go ahead and enjoy a healthy, hearty meal with your family."
17,Flipkart Supermart Select Brown Chana(1 kg),Dals & Pulses,Flipkart Supermart Select,"Grams are high in minerals, fibers and proteins. They also provide key vitamins and minerals to your diet. Its pure goodness helps in regulating blood pressure and cholesterol, while also assisting with weight management and diabetes. Flipkart Supermart Grams have a natural and delicious taste with great quality. Sourced from the finest traditional farms, our professionals handpick the Select produce carefully to ensure that the maximum nutrition from the farm reaches your food. Through multiple quality checks, cleaning and advanced packaging, Flipkart Supermart Select ensures an enhanced shelf life while also preserving the healthy, natural taste of the produce. So go ahead and enjoy a healthy, hearty meal with your family."
18,Lay's American Style Cream and Onion Flavour Chips(2 x 167 g),"Chips,Namkeen & Snacks",Lay's,"Open a bag of Lay’s chips and share it with your loved ones at home, parties and picnics. Relish the irresistible combination of sour cream, herbs and onions that will keep you wanting for more. These chips are made from high-quality potatoes that are sliced and cooked in edible vegetable oils. They are then seasoned with lip-smacking flavours."
19,Maggi Hot & Sweet Tomato Chilli Sauce(1 kg),Ketchups & Spreads,Maggi,"Bland food is a concept you won’t ever have to deal with when you have this Maggi Hot and Sweet Tomato Chilli Sauce to spice things up. Its interesting blend of sweet tomatoes and spicy chillies as the core ingredients comes together perfectly to take your tastebuds down a flavourful road no matter what or how you eat this sauce. For That Extra Zing This sauce’s unique taste is the result of the perfect marriage between the choicest tomatoes and chillies. Add this sauce to curries or use it as an accompaniment with your favourite snacks to give food a flavourful twist. No Mess, No Fuss Its impermeable glass packaging is strategically chosen to retain the sauce’s taste. This bottle’s opening facilitates an easy pour-and-serve use."
20,"Nivea Shine Caring Lip Balm Strawberry(Pack of: 1, 4.8 g)","Creams, Lotions, Skin Care",Nivea,"Let your lips look beautiful, with a hint of colour and the pleasant fragrance of strawberries by wearing the NIVEA Strawberry Shine lip balm. Greet Everyone with Soft and Smooth Lips This lip balm provides enough moisturization for your lips, thereby making them soft and smooth. Delightful Aroma of Strawberry This lip balm will leave your lips looking pleasant, alongside a slight aroma of strawberries."
21,Schweppes Tonic(300 ml),Soft Drinks,Schweppes,"Add a dash of zest to your drinks with the Schweppes Tonic that offers a distinctive tang to excite your taste buds. Made with quinine and other delicious ingredients, this tonic can be enjoyed on the rocks and/or with mocktails and cocktails. Refreshing Drink Mixer This is a refreshing and tasty drink mixer to make your favorite drink taste even better. Distinctive Taste Made of quinine and other ingredients, this tonic has a distinctive taste. Ideal for Mocktails and Cocktails Make flavour-rich mocktails and cocktails at home with the Schweppes Tonic. A Standalone Drink Make a standalone drink on the rocks with this tonic and feel refreshed instantly. Serve Chilled Serve the drink chilled and bubbling to enjoy every sip."
22,Minute Maid Guava Juice(1 L),Juices,Minute Maid,"Guava brings back a host of childhood memories and so does this Minute Maid guava juice. Family gatherings or house parties, serve your guests this refreshing drink and make long-lasting memories. Delicious and Quick This flavourful is not just palatable to your taste buds, but it is also completely hassle-free. Just open the lid and serve it fresh."
23,Dermi Cool Sandal Talc(125g Dettol Soap Free)(150 g),"Deos, Perfumes & Talc",Dermi Cool,"Bacteriostatic Formula with Dual Action, gives instant cooling relief. For effective treatment of Prickly Heat and long lasting cooling relief from accompanied stinging, burning and itching of skin along with the fragrance of sandalwood."
24,Pampers Baby-Dry Pants Diaper - New Born(86 Pieces),Diapers & Wipes,Pampers,"New Pampers Baby Dry Pants style diapers have 3 revolutionary Extra Absorb Channels, that help distribute wetness evenly throughout the pants diapers, so wetness doesn't collect in one place. Their Magic Gel Layer locks wetness inside and offers up to 12 hours of dryness to help your baby sleep soundly all night."
25,"Pedigree Puppy Milk, Vegetable 1.2 kg Dry Dog Food",Household Care|Pet Food,Pedigree,"For a complete and tasty meal of milk and vegetables, serve your dog this tasty blend from Pedigree and watch him enjoy his meal times from now."
26,Kohinoor Dubar Basmati Rice (Medium Grain)(5 kg),Rice & Rice Products,Kohinoor,"The Kohinoor Dubar Basmati Rice lends a tasty and delicious touch to your everyday meals. Aged Naturally This rice is naturally aged because of which it gets its distinct taste and flavour. Also, it is carefully processed in a high-quality manufacturing facility. This process accentuates the rich aroma of the rice and makes your meals yummier. Half the Length The length of this rice is half the length of a full basmati grain, so you can use it to prepare rice-based dishes every day and even for special occasions."
27,"TRESemme Detox & Restore Shampoo- No Parabens, No Dyes(580 ml)",Hair Care,TRESemme,"Launched in 1948, TRESemme was named after renowned hair care expert Edna Emme. Up until the 1950's, TRESemme was sold only in salons. Today it is available at a shop near you, so that you can have salon style hair at home. For over 60 years, TRESemme has built a history of success in 13 countries around the world. From its origins in 1947 and salon expertise, TRESemme has been driven by a simple truth: every woman deserves to look & feel fabulous, like she has just stepped out of the salon, everyday. This range has been carefully selected for its advanced formula. Driven by our salon heritage, we work with our stylists to deliver expert solutions from salon quality products without the salon price tag. Detox your way to stunning, healthy looking hair with every wash. Our expertly crafted system, gently purifies hair from daily residue build up without parabens or dyes. Formulas with our botanical blend of ginseng and neem, help nourish weak and damaged cuticles reviving hair and restoring manageability. Safe for color treated hair. Apply the TRESemme Botanique Detox & Restore Shampoo to wet hair, gently massage and work into a lather. Rinse thoroughly. Follow with TRESemme Botanique Detox & Restore Conditioner."
28,Durex Play Massage 2 in 1 Stimulating Lubricant(200 ml),Wellness & Common Pharma,Durex,"Give into your passions without any inhibitions. Leave the work to this Durex Play Massage 2-in-1 Stimulating Lubricant. This water-soluble formula eases vaginal dryness and any sort of discomfort so intimate moments between you and your partner are solely about each other. To switch things up, this lubricant contains guarana which improves physical endurance. Soft to touch, this formula washes off easily and has a pleasant smell."
29,Nivea Musk Talc(400 g),"Deos, Perfumes & Talc",Nivea,"Feel fresh throughout the day with this Musk Talc from Nivea and fall in love with your skin all over again. For all those men and women longing for that gentle fragrance, this Musk Talc will be their apt choice. The Nivea Musk Talc is perfect for summer when you are all set to go and play your favourite outdoor game. You are sure to get that soft and supple skin with this Nivea Talc. Also, this talcum powder will protect your body against bad odour and will absorb the moisture from your skin. For all those sport lovers, a talcum powder is a must since it would keep them away from bad body odour. Summers can be extremely uncomfortable, when you feel hot and sticky you can apply this Pure Talc and comfort yourself. Additionally, this Talc can be applied at night to give you that comfortable sleep during those humid days and you are sure to get that pleasant body odour. You can bid farewell to your skin irritation like rashes and chafing with this Musk Talc. Besides giving you that smooth skin, this Nivea Talc will keep your skin clean and fresh. After your fun bike ride, take a soothing shower and apply this talcum powder on your body and get that beautiful skin. Directions for Use Gently apply this talc on your body."
30,Nivea Whitening Cool Sensation Body Lotion(400 ml),"Creams, Lotions, Skin Care",Nivea,"Bring dull and lifeless skin back to its healthy and radiant condition with this Nivea Whitening Body Lotion. Gives Even-toned Skin Enriched with the goodness of camu camu and menthol, this body lotion gives you even-toned skin and keeps you feeling refreshed for hours. Sun Protection It contains SPF 15 to keep your skin protected from the harmful rays of the sun. Light Formula Hate the greasy feeling? This body lotion has a light formula which quickly absorbs into your skin and leaves it feeling soft and moisturized without being too oily or greasy."
31,Karachi Bakery Cashew Biscuits(400 g),Biscuits,Karachi Bakery,"These Cashew Biscuits come from the very renowned and reliable Karachi Bakery, who have been making cookies ,biscuits since 1953. The Cashew Biscuits is fully made up of natural ingredients and makes an excellent cookie. It's a high quality product, tasting sweet and delicious all at the same bite. It's free from preservatives, harmful regulators and, artificial flavors."
32,Minute Maid Pulpy Orange(1 L),Juices,Minute Maid,"Savour the tangy goodness of natural oranges with the Minute Maid Pulpy Orange soft drink from the Coca-Cola company. Shake it well and enjoy the juicy freshness of orange pulp with every gulp. A Real Fruit-eating Experience Its refreshing taste will delight your taste buds and chewing the pulp will make you feel like you’re eating the fruit itself. Refreshing Drink for the Whole Family Whether you’re a kid or an adult, you can enjoy this deliciously refreshing drink at any time of the day. Shake it well and serve it chilled to quench your thirst with the goodness of oranges."
33,Revive Liquid Fabric Stiffener(400 g),Detergents & Laundry,Revive,"Make your clothes stiff, bright, and wrinkle-free easily with the help of this fabric stiffener from Revive. Its formula is suitable for all fabrics and it can dissolve in cold water. Suitable for All Fabrics This instant starch is suitable for all types of fabrics, thereby making it suitable for almost anything inside your wardrobe. What’s more, it has been formulated to dissolve even in cold water. Patch-free Stiffness This starch will ensure that your clothes remain stiff but patch-free by forming an even transparent layer on the apparel. Hello Brighter Clothes You can confidently make use of this starch to make your colourful clothes brighter."
34,Set Wet Studio X Clean Cut Shine Hair Wax(70 g),Hair Care,Set Wet Studio X,"‘On fleek’ hair doesn’t happen just like that, but then again, it isn’t as much work as you think it is. Sometimes, all it takes to be ‘the guy with the cool hair’ is using this Set Wet Studio X Styling Wax Clean Cut Shine Hair Styler. This oil-based formula offers your hair an all-day smoothness and a long-lasting hold. Take a dollop of the product on your fingertips and apply it to the ends of hair strands. You can restyle your hair without washing the wax off."
35,Lakme Sun Expert Fairness UV Sunscreen Lotion - SPF 24 PA++(60 ml),"Creams, Lotions, Skin Care",Lakme,"With the Lakme Sun Expert Fairness plus UV Lotion, you no longer have to hide under a hat or an umbrella. It shields your skin from harmful sun rays. Thanks to its broad spectrum UV protection, it is ideal for hot Indian weathers and you can get lighter and radiant skin. SPF Say goodbye to tan lines as this lotion comes with SPF 24 PA + to protect your sensitive skin from harmful UV rays. Radiant and Healthy Glow It is infused with lemongrass and cucumber extracts to give your skin that radiant and healthy glow. It also gives a cooling effect. All-through the Year Its texture is light enough to be used everyday, and not just during summers. Regular usage will help give you visibly fairer and even-toned skin. Specially Formulated It is specially formulated to prevent sunburns, premature aging and dark spots."
36,"Gatorade Sports Energy Drink(500 ml, Orange Flavored)",Soft Drinks,Gatorade,"If you are sportsperson, then Gatorade is the drink designed to re-energize you. It is a scientifically developed formula, which comes with a balanced combination of fluids, flavour, electrolytes and carbohydrates to rehydrate and refuel you after an intense game."
37,"Nestle Cerelac Rice Cereal(300 g, 6+ Months)",Baby Foods,Nestle Cerelac,"Ensure that your child gets the right nutrition with the Nestlé CERELAC Fortified Baby Cereal with Milk. This Iron-fortified Baby Cereal includes 18 vital nutrients that help your child grow healthy. Iron-fortified Baby Cereal Nutrients are vital for your child’s healthy growth. This rice cereal is ideal for babies (6 months or older), and does not contain any added colors, flavours or preservatives. Source of Vital Nutrients Comprising 18 important nutrients including vitamins and minerals, this cereal gives your child the right amount of nutrition."
38,Pampers Baby-Dry Pants Diaper - S(86 Pieces),Diapers & Wipes,Pampers,"Pampers baby-dry pants style diapers are the only pants in India with new Air Channels providing your baby a new type of dryness overnight; breathable dryness Magic Gel that locks wetness away for up to 12 hours of dryness The new & improved product design enables a comfortable fit, closer to the baby's body Flexible waist band that adapts to baby's movements for a comfortable fit Baby lotion with Aloe Vera helps protect your baby's delicate skin from diaper rash and irritation A top layer with cotton like soft material, for a comfortable night's sleep Fun exterior graphics; fun designs & characters to enjoy with your baby"
39,Nivea Rose and Argan Oil in Lotion(400 ml),"Creams, Lotions, Skin Care",Nivea,Nivea brings the goodness of premium natural oils in a fast absorbing lotion with sensual fragrances.
40,Kohinoor Lazeez Sabzi Masala(40 g),Masalas & Spices,Kohinoor,"Some good veggies and a pinch of this Kohinoor Lazeez Sabzi Masala are all you need for a flavourful meal that everyone will love. Rich Aroma and Flavour With the perfect blend of 17 spices, this masala can instantly turn any bland dish into a delectable delight. Granular Texture It blends easily into most of your recipes, enhancing their taste and flavor."
41,Heinz Tomato Ketchup(900 g),Ketchups & Spreads,Heinz,"Add a tangy twist to your sandwiches, burgers and fries with the Heinz Tomato Ketchup. It contains extracts of spice, onion, garlic and the goodness of 100% natural tomatoes to make your meals and refreshments tasty and healthy. Deliciously Thick and Rich This Heinz ketchup is made with the goodness of 100% natural and sun-ripened tomatoes to give a tangy and appetizing flavor to your snacks. Enjoy with Snacks Anytime It contains extracts of spice, onion, and garlic to make your breakfast, luncheons, and refreshments mouth-watering. This bottle of ketchup is easy to pour and use, thereby making it convenient for you to add a tangy twist to your ordinary meals. Make Meals Healthier and Tastier This tomato ketchup comes with vitamins, proteins, and celery. It has antioxidant properties and also includes minerals to make your meals wholesome, yummy, and healthy. No Artificial Preservatives This ketchup maintains its taste with the freshness of ripe red tomatoes. It contains no artificial color, preservatives, flavors, or starch."
42,Maaza Mango(1.2 L),Juices,Maaza,"Enjoy the juicy pulp of mangoes anytime, anywhere with the Maaza mango drink from the Coca-Cola Company. This universally loved drink is made from real pulp of handpicked Alphonso mangoes. Mango Indulgence Enjoy this sweet, rich and thick mango fruit drink that comes infused with delightful Alphonso mangoes. Ready-to-serve Mango Drink This drink, that is best served chilled, is made from actual mango pulp of Alphonso mangoes to give you an authentic and refreshing experience."
43,Fair & Lovely Men Instant Fairness Face Wash(50 g),Soaps & Body Wash,Fair & Lovely Men,"For the men on the go, this face wash from Fair & Lovely is a must-have in your kit. This oil-free face wash keeps your skin soft and smooth, keeping it hydrated it for a long period. Long-lasting Fairness Its oil-free formula retains the natural moisture of your skin, making your skin look fairer and keeping it hydrated for a longer period. Soft and Smooth Feel Made from water and ingredients such as glycerin and myristic acid, this face wash gives you a soft and smooth skin."
44,Nivea Waterlily & Oil Care Shower Gel(250 ml),Soaps & Body Wash,Nivea,"With the NIVEA Waterlilly and Oil shower gel soft, supple and gentle skin will be all yours. Its care oil pearls will keep your skin moisturized.  Start on a Fresh Note This shower gel will leave your body with the invigorating scent of the waterlily flower, thereby keeping you fresh all day long. Skin That’s Clean and Balanced This shower gel’s effective cleansing formula will keep your skin clean and balanced. Skin That’s Soft and Supple This shower gel has been enriched with care oil pearls that moisturize your skin, thereby making it soft and supple."
45,"Saffola Masala Oats Lemony Twist(39 g, Pouch)",Breakfast Cereals,Saffola,"You want to be healthy; you’re always short of time; you don’t want to compromise on taste - find the sweet spot between all these struggles with this packet of Saffola masala oats. Made from 100% natural whole grain oats and veggies, this packet of Saffola masala oats is healthy and tasty as well. The best part is, it hardly takes any time to prepare it. Just 3 Minutes Even with a hectic schedule, you can always squeeze in 3 minutes to prepare yourself a yummy bowl of oats. Nutritious Full of protein and fiber, oats keep you satiated for a long period and help you manage your weight. Less Fat According to a study, this product contains up to 70% less fat when compared to instant noodles."
46,Kohinoor Lazeez Sabzi Masala(40 g),Masalas & Spices,Kohinoor,"Some good veggies and a pinch of this Kohinoor Lazeez Sabzi Masala are all you need for a flavourful meal that everyone will love. Rich Aroma and Flavour With the perfect blend of 17 spices, this masala can instantly turn any bland dish into a delectable delight. Granular Texture It blends easily into most of your recipes, enhancing their taste and flavor."
47,Heinz Tomato Ketchup(900 g),Ketchups & Spreads,Heinz,"Add a tangy twist to your sandwiches, burgers and fries with the Heinz Tomato Ketchup. It contains extracts of spice, onion, garlic and the goodness of 100% natural tomatoes to make your meals and refreshments tasty and healthy. Deliciously Thick and Rich This Heinz ketchup is made with the goodness of 100% natural and sun-ripened tomatoes to give a tangy and appetizing flavor to your snacks. Enjoy with Snacks Anytime It contains extracts of spice, onion, and garlic to make your breakfast, luncheons, and refreshments mouth-watering. This bottle of ketchup is easy to pour and use, thereby making it convenient for you to add a tangy twist to your ordinary meals. Make Meals Healthier and Tastier This tomato ketchup comes with vitamins, proteins, and celery. It has antioxidant properties and also includes minerals to make your meals wholesome, yummy, and healthy. No Artificial Preservatives This ketchup maintains its taste with the freshness of ripe red tomatoes. It contains no artificial color, preservatives, flavors, or starch."
48,Maaza Mango(1.2 L),Juices,Maaza,"Enjoy the juicy pulp of mangoes anytime, anywhere with the Maaza mango drink from the Coca-Cola Company. This universally loved drink is made from real pulp of handpicked Alphonso mangoes. Mango Indulgence Enjoy this sweet, rich and thick mango fruit drink that comes infused with delightful Alphonso mangoes. Ready-to-serve Mango Drink This drink, that is best served chilled, is made from actual mango pulp of Alphonso mangoes to give you an authentic and refreshing experience."
49,"Saffola Masala Oats Lemony Twist(39 g, Pouch)",Breakfast Cereals,Saffola,"You want to be healthy; you’re always short of time; you don’t want to compromise on taste - find the sweet spot between all these struggles with this packet of Saffola masala oats. Made from 100% natural whole grain oats and veggies, this packet of Saffola masala oats is healthy and tasty as well. The best part is, it hardly takes any time to prepare it. Just 3 Minutes Even with a hectic schedule, you can always squeeze in 3 minutes to prepare yourself a yummy bowl of oats. Nutritious Full of protein and fiber, oats keep you satiated for a long period and help you manage your weight. Less Fat According to a study, this product contains up to 70% less fat when compared to instant noodles."
50,Nivea Creme Soft Shower Gel(250 ml),Soaps & Body Wash,Nivea,Enjoy the joy of feeling fresh with this NIVEA Creme Soft Shower Cream. This shower cream has been enriched with almond oil which helps keep your skin feeling soft and moisturized while leaving a mild scent behind. Gentle Protection and Cleaning This shower cream is enriched with the natural goodness of almond oil that gently cleanses your skin and keeps nourished. Hydration for Your Skin The Hydra IQ moisture technology in the Creme Soft Shower Cream keeps your skin feeling hydrated and cared for while maintaining your skin's ph balance.
51,Set Wet Studio X Body Wash For Men - Refresh(180 ml),Soaps & Body Wash,Set Wet Studio X,"Celebs are always ahead of the trend-setting curve with their dapper and suave looks, all thanks to expert styling. Its their X factor that separates the best from the rest! Set Wet Studio X, co-created with top celeb stylist Aalim Hakim is that X factor for your daily grooming routine. An expert grooming range for men who want to sport that celeb look everyday. Keep your style game effortlessly on point. Take the spotlight and be the trend. Welcome to tropical woes where the early morning post-shower freshness barely stays through the day. But hey, we've got you covered! Say hello to Studio X Refresh Body Wash For Men. It elevates your mood and makes you feel alive. Time to feel the celebrity vibe that lasts all day! Benefits : Co-created with top Celebrity Stylist Aalim Hakim to give you expert grooming - so that you can look and feel like a celeb everyday Set wet Studio X body wash for men- Refresh, unleashes a rush of cool aqua fragrance It consists of menthol which gives a mad burst of cooling to your body This men's body wash helps cleansing your body effectively It helps keep you refresh whole day long with a long lasting fragrance This body wash for men is effective even in the most humid conditions and is suitable for all skin types"
52,Engage Spray W3 Perfume - 120 ml(For Women),"Deos, Perfumes & Talc",Engage,Engage presents these perfume sprays for the modern woman who is confident and classy. The fragrances will leave you feeling fresh and smelling beautiful all day. Engage Women W3 Perfume Spray is a casual and breezy fragrance with sparkling fruity-floral scent with clean and crisp elements of apple and lime that evoke the spirit of the Sicilian summer.
53,Johnson's Skincare Wipes(80 Pieces),Diapers & Wipes,Johnson's,"Taking care of your baby’s hygiene is extremely important. Get these Johnson’s Baby Wipes to keep your little one’s skin and hydrated. Cloth wipe instead of paper These wipes are made of cloth and not paper, thus they are gentle on your child’s skin and ensure no damage is caused. Contains one of Mother Natures Moisturisers - Glyceryl Oleate - which nourishes, hydrates and protects As these wipes contain natural ingredients like glyceryl oleate which nourishes, hydrates and protects your little one’s skin thoroughly and keeps it clean too.  Hypoallergenic - soap free - alcohol free These wipes are hypoallergenic, thus reducing the risk of causing allergy. Furthermore, these wipes are soap and alcohol free ensuring no harm is caused to the baby’s skin. Wipes are extra soft with embossed SOFTWAVE fabric that help reduce friction To help reduce friction and increase chafing, these wipes are embossed with SOFTWAVE fabric which makes them extra soft and gentle on your skin. Enriched with moisturising lotion To keep your baby’s skin moistened and prevent dryness, these Johnson’s Baby Wipes are enriched with moisturising lotion."
